epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.953,0.46232,0.61077,0.26952,0.83559,0.97035,0.98221,0.98698,0.90818,0.97035,0.98221,0.98698,0.7685,0.39871,0.47939,0.16492,0.80688,0.068007,0.000989474,0.000989474
2,880.177,0.45525,0.56522,0.24735,0.82768,0.97817,0.97614,0.98561,0.90609,0.97817,0.97614,0.984,0.77055,0.39216,0.46415,0.16458,0.80536,0.0356677,0.00198351,0.00198351
3,1269.75,0.45607,0.5464,0.25866,0.82351,0.95181,0.97437,0.9839,0.90606,0.95181,0.97437,0.98398,0.75581,0.40433,0.46933,0.19912,0.8064,0.00332241,0.00297154,0.00297154
4,1771.82,0.46376,0.52049,0.25255,0.82832,0.97518,0.97998,0.98903,0.90477,0.97518,0.97998,0.98903,0.75811,0.41529,0.48037,0.21778,0.81131,0.002973,0.002973,0.002973
5,2142.22,0.44422,0.50958,0.23674,0.82359,0.98291,0.9904,0.99068,0.91132,0.98291,0.9904,0.99061,0.77121,0.40488,0.44667,0.17468,0.81096,0.002964,0.002964,0.002964
6,2581.71,0.45312,0.50531,0.23607,0.82588,0.98445,0.99185,0.99054,0.92092,0.98445,0.99185,0.99054,0.77802,0.38932,0.4266,0.16647,0.80647,0.002955,0.002955,0.002955
7,2991.66,0.45519,0.51081,0.23239,0.82516,0.98604,0.98971,0.98947,0.91185,0.98604,0.98971,0.98947,0.76775,0.39845,0.44862,0.16775,0.81003,0.002946,0.002946,0.002946
8,3468.68,0.44447,0.49577,0.22563,0.82522,0.97461,0.98542,0.98601,0.90912,0.97461,0.98542,0.98601,0.7719,0.40643,0.47176,0.19832,0.80774,0.002937,0.002937,0.002937
9,3862.96,0.44604,0.48937,0.23201,0.81849,0.91952,0.8648,0.91242,0.83509,0.91473,0.8611,0.90747,0.68812,0.41438,0.65949,0.4998,0.81551,0.002928,0.002928,0.002928
10,4289.87,0.43639,0.52867,0.22471,0.82218,0.98863,0.99341,0.99153,0.91182,0.98863,0.99341,0.99153,0.78826,0.41693,0.42664,0.17418,0.80907,0.002919,0.002919,0.002919
11,4709.43,0.44047,0.48298,0.21998,0.82484,0.97736,0.97928,0.98732,0.91405,0.97736,0.97928,0.98732,0.7789,0.39264,0.4361,0.17198,0.81027,0.00291,0.00291,0.00291
12,5152.6,0.4383,0.50383,0.21735,0.82301,0.96867,0.98735,0.9833,0.90971,0.96842,0.98708,0.98327,0.77831,0.40288,0.48685,0.20282,0.8069,0.002901,0.002901,0.002901
13,5545.14,0.45547,0.52109,0.22486,0.82485,0.98646,0.9933,0.99026,0.91671,0.98646,0.9933,0.99026,0.79624,0.39756,0.43028,0.17501,0.80855,0.002892,0.002892,0.002892
14,6015.91,0.43924,0.46965,0.20842,0.82016,0.9888,0.99372,0.99041,0.91961,0.9888,0.99372,0.99041,0.78922,0.38773,0.44477,0.15993,0.80894,0.002883,0.002883,0.002883
15,6450.5,0.44282,0.51369,0.21119,0.81858,0.98335,0.98588,0.98999,0.9117,0.98335,0.98588,0.98999,0.78009,0.39756,0.44468,0.19616,0.81371,0.002874,0.002874,0.002874
16,6876.76,0.44563,0.50377,0.22187,0.82384,0.99152,0.98501,0.99076,0.92425,0.99152,0.98501,0.99076,0.78847,0.37696,0.42321,0.17228,0.81,0.002865,0.002865,0.002865
17,7253.5,0.43668,0.49735,0.21258,0.81918,0.98904,0.99483,0.99107,0.92163,0.98904,0.99483,0.99107,0.79459,0.38766,0.42871,0.16273,0.80964,0.002856,0.002856,0.002856
